number_of_features,cross_validation_score
1,-4.548020606916266
2,-1.2975468779093517
3,-1.201688257235601
4,-1.2385468224421523
5,-0.6100970156165602
6,-0.30263984268402655
7,-0.8735645813549446
8,-0.7447479614380257
9,-0.8320758599164645
10,-0.8794397582976217
11,-0.5687283545165742
12,-0.22537137815585492
13,0.015855475356280336
14,0.07283557073429266
15,0.06261059017679971
16,0.22033937614670815
17,0.379795431988339
18,0.34257289815519315
19,0.3446950012269118
20,0.3268369583958439
21,0.39107385318774907
22,0.36314839025966894
23,0.40334992264876773
24,0.49006779660664296
25,0.4745793457050972
26,0.47876116464296514
27,0.4797503723725386
28,0.4899148299526521
29,0.4756112193093368
30,0.4829604224864054
31,0.494502946417091
32,0.4904334435146545
33,0.534644928432287
34,0.5241859521755876
35,0.5312118929924781
36,0.5242363794388221
37,0.5299624591356716
38,0.5305763831300209
39,0.5320597778666212
