number_of_features,cross_validation_score
1,0.6674370860740211
2,0.6484881781559715
3,0.6246761012164834
4,0.5879714276974413
5,0.5488199140963314
6,0.5467488269225729
7,0.5330037233350331
8,0.10882786308837096
9,0.09043062532450277
10,0.070325431304287
11,0.07730145138192741
12,0.03879998320517397
13,0.018439805940530407
14,0.06696371009709012
15,0.09246517960410613
16,0.08394091544695045
17,0.0985452496668274
18,0.12705090966191088
19,0.13190077230661562
20,0.1429454649548581
21,0.14539247422822754
22,0.15616193086755975
23,0.16877428537259523
24,0.14620252290692184
25,0.04219786275118773
26,-0.06448301447522065
27,-0.06555946870206233
28,-0.04873101218673268
29,-0.06694849292842084
30,-0.0648689496720718
31,-0.0815517824665016
32,-0.17455843753265604
33,-0.16973030617793686
34,-0.15393200714066038
35,-0.13846127645217904
36,-0.11707273032090018
37,-0.11393088075115361
38,-0.10501468903960069
39,-0.12200895784273329
40,-0.11349281712638323
41,-0.2675129592983666
42,-0.2712270060685611
43,-0.4295789658700483
44,-0.413419860643796
45,-0.39303259045676464
46,-0.3800961237111726
47,-0.3762096672130764
48,-0.3659821143442314
49,-0.35516187273592104
50,-0.3523080359030417
51,-0.22244392234833493
52,-0.21419928687396944
53,-0.2088880097172984
54,-0.18401403136408961
55,-0.16128856104676062
56,-0.17189859815588754
57,-0.15573222416660487
58,-0.1636984522222762
59,-0.12737971227227954
60,-0.13904409107896423
61,-0.12915035567428804
62,-0.12929414284505908
63,-0.20886357696653696
64,-0.21664629441056232
65,-0.21150062577764928
66,-0.22050630476139776
67,-0.1630489046021195
68,-0.16706289195440704
69,-0.08639677878277548
70,-0.08676034110002906
71,-0.07755039954751244
72,-0.07768925945053726
73,-0.06885086188142853
74,-0.061817407460587656
75,-0.06509404482899314
76,-0.06396326223612178
77,-0.06055187961536266
78,0.19183024868127746
79,0.2093164918944337
80,0.195316670257285
81,0.2142483444335273
82,0.1998840955584603
83,0.21361211196071048
84,0.21049965128841858
85,0.21940619567861494
86,0.21493252611234298
87,0.2134764870356161
88,0.2042669484757944
89,0.20748161288882744
90,0.20513611370296242
91,0.20394641960360663
92,0.04696330084237062
93,0.047471710097427386
94,0.03987212694987079
95,0.017628500691471684
96,0.024779309365464373
97,0.024829939444314685
98,0.016678973052534428
99,0.019327826657931
100,0.025117441367930572
101,0.024890447173903586
102,0.012151754311936625
103,0.013208174173520427
104,0.030225172553845603
105,0.03204369675132233
106,0.036986610067028323
107,0.021493073902103355
108,0.018470300824132167
109,0.02392564061753095
110,0.028374700690179156
111,0.024084952007429196
112,0.03022791837553056
113,0.029212113405412143
114,0.02940718463743197
115,0.034643757050263124
116,0.030010845333482018
117,0.03352283591403573
118,0.03295451635313205
119,0.02584406200230318
120,0.03287555550422776
121,0.032814058243374154
122,0.034910542276196124
123,0.029506498257672042
124,0.041283188152714964
125,0.02851030331078217
126,0.031133939383209342
127,0.03481205335984568
128,0.03715820079201513
129,0.03806764138681924
130,0.03269116228230371
131,0.029690344283169877
132,0.023328883088454332
133,0.02927912072962906
134,0.03031810368585308
135,0.03561974916914967
136,0.02557916275846952
137,0.029619759276698954
138,0.027749562550101192
139,0.030292243032851652
140,0.02636908093398933
141,0.030925411713292127
142,0.03161606014462839
143,-0.013060423594555549
144,-0.007828123526328844
145,-0.08922226984392304
146,-0.1523457278474652
147,-0.15125556809830237
148,-0.15492924351687581
149,-0.15380336774471998
150,-1.5296252946973474
151,-1.5197999825516428
152,-1.5563681102728635
153,-1.5594540410181754
154,-1.5611492005817091
155,-1.5606744693359385
156,-1.5561380563988947
157,-1.5572385897798835
158,-1.572559423569736
159,-1.5776178439878854
160,-1.5853044716857974
161,-1.602490767382302
162,-1.6029204772814711
163,-1.605138876424051
164,-1.5987825980279882
165,-1.5939907351930585
166,-1.5919865545734848
167,-1.602294751958701
168,-1.5442028618665056
